entry_date,exit_date,side,contracts,short_strike,long_strike,entry_credit,exit_debit,max_loss_dollars,net_pnl,return_on_risk_pct
2025-10-30,2025-11-04,bull_put,23,662.0,629.0,5.5604,6.1237,63111.01,-1341.41,-2.13
2025-11-04,2025-11-05,bull_put,22,658.0,624.0,5.7058,5.0093,62247.21,1488.35,2.39
2025-11-05,2025-11-06,bull_put,23,660.0,627.0,5.5974,7.6007,63026.01,-4653.67,-7.38
2025-11-06,2025-11-07,bull_put,23,653.0,620.0,5.5858,5.3069,63052.71,595.53,0.94
2025-11-07,2025-11-13,bull_put,22,654.0,620.0,5.7232,4.3872,62209.04,2895.02,4.65
2025-11-13,2025-11-14,bull_put,22,655.0,621.0,5.7182,5.6463,62220.06,114.1,0.18
2025-11-14,2025-11-17,bull_put,22,655.0,621.0,5.7465,7.4819,62157.77,-3862.04,-6.21
2025-12-09,2025-12-12,bull_put,22,666.0,632.0,5.8604,5.4902,61907.03,770.42,1.24
2025-12-15,2025-12-16,bull_put,22,663.0,629.0,5.646,6.0399,62378.73,-910.58,-1.46
2025-12-16,2025-12-17,bull_put,22,662.0,628.0,5.8527,7.9858,61924.03,-4736.72,-7.65
2025-12-18,2025-12-30,bull_put,22,659.0,626.0,5.6123,1.2433,60253.02,9567.78,15.88
2025-12-30,2025-12-31,bull_put,22,671.0,637.0,5.6708,6.9907,62324.34,-2947.83,-4.73
2025-12-31,2026-01-02,bull_put,22,666.0,632.0,5.6331,5.2099,62407.27,886.95,1.42
2026-01-02,2026-01-14,bull_put,22,668.0,634.0,5.8479,1.6991,61934.57,9083.36,14.67
2026-01-14,2026-01-20,bull_put,22,675.0,640.0,5.9323,9.3877,63948.99,-7645.9,-11.96
2026-01-21,2026-02-02,bull_put,22,670.0,636.0,5.8131,1.3014,62011.16,9881.84,15.94
2026-02-03,2026-02-04,bull_put,23,674.0,640.0,5.8281,6.652,64795.47,-1941.04,-3.0
2026-02-04,2026-02-05,bull_put,22,671.0,636.0,5.9273,8.4375,63959.83,-5566.29,-8.7
